Time,Min,Quality,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Battery
1,00:00:00,360,1824244,1144000,38.13,-61,100
10002,00:00:10,360,1812244,1586000,52.87,-67,100
20043,00:00:20,360,1828204,1586000,52.87,-63,100
30031,00:00:30,360,1794804,1586000,52.87,-63,100
40012,00:00:40,360,1816568,1586000,52.87,-65,100
50001,00:00:50,360,1781596,1586000,52.87,-60,100
60043,00:01:00,360,1823864,1144000,38.13,-60,100
70033,00:01:10,360,1806756,1586000,52.87,-60,100
80029,00:01:20,360,1821872,839000,27.97,-65,100
90018,00:01:30,360,1805176,1586000,52.87,-59,100
100017,00:01:40,360,1822904,1586000,52.87,-59,100
110005,00:01:50,360,1810224,1586000,52.87,-65,100
120007,00:02:00,360,1790844,1586000,52.87,-63,100
130068,00:02:10,360,1818592,1586000,52.87,-63,100
140051,00:02:20,360,1843640,1586000,52.87,-66,100
150047,00:02:30,360,1816888,902000,30.07,-61,100
160037,00:02:40,360,1825108,1586000,52.87,-61,100
170040,00:02:50,360,1824324,1586000,52.87,-61,100
180021,00:03:00,360,1775696,1586000,52.87,-71,100
190014,00:03:10,360,1803452,1586000,52.87,-62,100
200012,00:03:20,360,1794920,1586000,52.87,-66,100
210056,00:03:30,360,1824520,1586000,52.87,-59,100
220052,00:03:40,360,1811024,1586000,52.87,-59,100
230010,00:03:50,360,1816344,1586000,52.87,-59,100
240045,00:04:00,360,1790760,1586000,52.87,-59,99
250046,00:04:10,360,1808476,1586000,52.87,-64,99
260039,00:04:20,360,1817076,1586000,52.87,-61,99
270036,00:04:30,360,1810524,1586000,52.87,-61,99
280029,00:04:40,360,1824372,1248000,41.6,-64,99
290022,00:04:50,360,1776328,1586000,52.87,-63,99
300016,00:05:00,360,1788184,1586000,52.87,-63,99
310054,00:05:10,360,1823772,1586000,52.87,-63,99
320047,00:05:20,360,1824416,1586000,52.87,-63,99
330041,00:05:30,360,1789292,1586000,52.87,-63,99
340049,00:05:40,360,1818152,1586000,52.87,-63,99
350040,00:05:50,360,1825828,1586000,52.87,-63,99
360036,00:06:00,360,1823748,1586000,52.87,-64,99
370032,00:06:10,360,1817264,1586000,52.87,-63,99
380023,00:06:20,360,1804912,1586000,52.87,-65,99
390016,00:06:30,360,1818348,1586000,52.87,-59,99
400054,00:06:40,360,1766668,1586000,52.87,-59,99
410044,00:06:50,360,1793616,1586000,52.87,-59,99
420037,00:07:00,360,1800960,1586000,52.87,-64,99
430033,00:07:10,360,1799400,1586000,52.87,-63,99
440021,00:07:20,360,1811224,1586000,52.87,-64,99
450061,00:07:30,360,1824848,1586000,52.87,-62,99
460050,00:07:40,360,1812060,1586000,52.87,-62,99
470046,00:07:50,360,1819640,1586000,52.87,-64,99
480041,00:08:00,360,1801984,1586000,52.87,-63,99
490033,00:08:10,360,1816588,1586000,52.87,-68,99
500026,00:08:20,360,1809756,1586000,52.87,-62,99
