Time,Min,Quality,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Battery
1130061,00:18:50,720,1811720,1586000,52.87,-64,65
1140061,00:19:00,720,1808216,1586000,52.87,-62,65
1150061,00:19:10,720,1810840,1586000,52.87,-65,65
1160061,00:19:20,720,1801244,1586000,52.87,-65,65
1170061,00:19:30,720,1824880,1586000,52.87,-58,65
1180061,00:19:40,720,1825180,1144000,38.13,-67,65
1190061,00:19:50,720,1818120,902000,30.07,-60,65
1200061,00:20:00,720,1818432,902000,30.07,-60,65
1210061,00:20:10,720,1803916,902000,30.07,-65,65
1220061,00:20:20,720,1825504,676000,22.53,-59,65
1230061,00:20:30,720,1806596,1014000,33.8,-65,65
1240061,00:20:40,720,1803820,839000,27.97,-62,65
1250061,00:20:50,720,1824236,839000,27.97,-64,65
1260061,00:21:00,720,1820236,546000,18.2,-63,65
1270061,00:21:10,720,1818688,1144000,38.13,-63,65
1280061,00:21:20,720,1770128,1586000,52.87,-64,65
1290061,00:21:30,720,1798228,676000,22.53,-63,65
1300061,00:21:40,720,1804660,1352000,45.07,-63,65
1310061,00:21:50,720,1794152,902000,30.07,-67,65
1320061,00:22:00,720,1795624,902000,30.07,-62,65
1330061,00:22:10,720,1806500,1586000,52.87,-66,65
1340061,00:22:20,720,1821300,902000,30.07,-66,65
1350061,00:22:30,720,1783868,757000,25.23,-59,65
1360061,00:22:40,720,1810072,902000,30.07,-64,65
1370061,00:22:50,720,1810684,546000,18.2,-63,65
1380061,00:23:00,720,1823896,1248000,41.6,-66,65
1390061,00:23:10,720,1825660,1352000,45.07,-66,65
1400061,00:23:20,720,1817920,1586000,52.87,-61,65
1410061,00:23:30,720,1825368,1586000,52.87,-64,65
1420061,00:23:40,720,1802260,1586000,52.87,-64,65
1430061,00:23:50,720,1822952,902000,30.07,-59,64
1440061,00:24:00,720,1777812,1014000,33.8,-68,64
1450061,00:24:10,720,1805276,1586000,52.87,-62,64
1460061,00:24:20,720,1824328,902000,30.07,-62,64
1470061,00:24:30,720,1770440,902000,30.07,-65,64
1480061,00:24:40,720,1806492,902000,30.07,-59,64
1490061,00:24:50,720,1806384,757000,25.23,-64,64
1500061,00:25:00,720,1810760,902000,30.07,-64,64
1510061,00:25:10,720,1795000,839000,27.97,-59,64
1520061,00:25:20,720,1817460,902000,30.07,-65,64
1530061,00:25:30,720,1823360,902000,30.07,-63,64
1540061,00:25:40,720,1820508,1482000,49.4,-63,64
1550061,00:25:50,720,1847724,902000,30.07,-65,64
1560061,00:26:00,720,1812636,1586000,52.87,-59,64
1570061,00:26:10,720,1814708,1248000,41.6,-64,64
1580061,00:26:20,720,1819452,1586000,52.87,-59,64
1590061,00:26:30,720,1814180,1248000,41.6,-59,64
1600061,00:26:40,720,1797952,546000,18.2,-66,64
1610061,00:26:50,720,1819824,1586000,52.87,-63,64
1620061,00:27:00,720,1803576,546000,18.2,-64,64
1630061,00:27:10,720,1825556,1586000,52.87,-59,63
1640061,00:27:20,720,1808472,1586000,52.87,-59,63
1650061,00:27:30,720,1803296,1586000,52.87,-59,63
1660061,00:27:40,720,1824180,1586000,52.87,-59,63
1670061,00:27:50,720,1815328,1014000,33.8,-65,63
1680061,00:28:00,720,1804940,1586000,52.87,-60,63
1690061,00:28:10,720,1828324,1586000,52.87,-73,63
1700061,00:28:20,720,1800812,902000,30.07,-73,63
1710061,00:28:30,720,1789828,676000,22.53,-63,63
1720061,00:28:40,720,1826112,757000,25.23,-63,63
1730061,00:28:50,720,1806324,757000,25.23,-63,63
1740061,00:29:00,720,1805932,902000,30.07,-65,63
1750061,00:29:10,720,1824704,1014000,33.8,-62,63
1760061,00:29:20,720,1811116,676000,22.53,-65,63
1770061,00:29:30,720,1810824,839000,27.97,-65,63
1780061,00:29:40,720,1802212,757000,25.23,-60,63
1790061,00:29:50,720,1813708,546000,18.2,-64,63
1800061,00:30:00,720,1818496,1144000,38.13,-64,63
1810061,00:30:10,720,1768104,676000,22.53,-59,63
1820061,00:30:20,720,1796840,902000,30.07,-65,63
1830061,00:30:30,720,1798840,1014000,33.8,-65,63
1840061,00:30:40,720,1825740,902000,30.07,-58,63
1850061,00:30:50,720,1785440,757000,25.23,-64,62
1860061,00:31:00,720,1797888,1482000,49.4,-64,62
1870061,00:31:10,720,1818208,546000,18.2,-60,62
1880061,00:31:20,720,1818596,1586000,52.87,-65,62
1890061,00:31:30,720,1824656,1586000,52.87,-63,62
1900061,00:31:40,720,1806228,1586000,52.87,-64,62
1910061,00:31:50,720,1825040,1586000,52.87,-63,62
1920061,00:32:00,720,1776140,1586000,52.87,-65,62
1930061,00:32:10,720,1776368,1248000,41.6,-62,62
1940061,00:32:20,720,1777932,839000,27.97,-64,62
1950061,00:32:30,720,1779052,839000,27.97,-64,62
1960061,00:32:40,720,1792428,902000,30.07,-63,62
1970061,00:32:50,720,1811772,902000,30.07,-64,62
1980061,00:33:00,720,1821676,1248000,41.6,-62,62
1990061,00:33:10,720,1798432,1014000,33.8,-64,62
2000061,00:33:20,720,1815480,1144000,38.13,-64,62
2010061,00:33:30,720,1824668,1586000,52.87,-57,62
2020061,00:33:40,720,1814528,902000,30.07,-64,62
2030061,00:33:50,720,1812052,757000,25.23,-60,62
2040061,00:34:00,720,1810336,839000,27.97,-64,62
2050061,00:34:10,720,1788168,757000,25.23,-62,62
2060061,00:34:20,720,1805344,902000,30.07,-62,62
2070061,00:34:30,720,1825968,1586000,52.87,-64,62
2080061,00:34:40,720,1797040,676000,22.53,-63,62
2090061,00:34:50,720,1816492,902000,30.07,-64,62
2100061,00:35:00,720,1789576,902000,30.07,-56,62
2110061,00:35:10,720,1809356,902000,30.07,-64,62
2120061,00:35:20,720,1782116,902000,30.07,-63,62
2130061,00:35:30,720,1816880,1586000,52.87,-63,61
2140061,00:35:40,720,1796196,902000,30.07,-64,61
2150061,00:35:50,720,1808564,1586000,52.87,-63,61
2160061,00:36:00,720,1810656,1352000,45.07,-64,61
2170061,00:36:10,720,1819488,1586000,52.87,-63,61
2180061,00:36:20,720,1814972,1586000,52.87,-63,61
2190061,00:36:30,720,1824412,1248000,41.6,-64,61
2200061,00:36:40,720,1825200,1248000,41.6,-57,61
2210061,00:36:50,720,1811388,1352000,45.07,-57,61
2220061,00:37:00,720,1811256,1248000,41.6,-64,61
2230061,00:37:10,720,1819720,839000,27.97,-64,61
2240061,00:37:20,720,1803816,902000,30.07,-63,61
2250061,00:37:30,720,1813212,1248000,41.6,-64,61
2260061,00:37:40,720,1804116,676000,22.53,-63,61
2270061,00:37:50,720,1812492,757000,25.23,-64,61
2280061,00:38:00,720,1795580,1014000,33.8,-59,61
2290061,00:38:10,720,1789156,1248000,41.6,-65,61
