360,402.64664,30.06666667,2,690,5,2,19,1,25,4,5,5,5,5
360,528.589,24.8,2,873,3,2,19,1,29,5,5,4,5,4
360,565.1745,25.05,2,887,4,2,19,1,33,3,5,5,4,4
360,217.1132,30,2,912,4,2,19,0,19,4,5,4,5,4
360,299.96722,24.11666667,2,944,5,2,19,1,26,3,5,5,5,5
360,443.8256,24.71666667,2,978,5,2,19,1,30,3,4,3,4,3
360,150.87825,29.8,1,1028,5,2,19,0,38,4,5,4,4,4
360,195.54922,24.06666667,2,1120,5,2,19,1,26,4,5,4,4,4
360,392.09268,30.06666667,2,1147,5,2,19,0,28,4,5,5,4,5
360,578.5965,30.06666667,2,1199,5,2,19,1,23,3,5,5,4,5
360,399.86847,29.9,1,1201,3,2,19,1,26,4,5,5,5,5
360,218.08926,29.95,1,1222,2,2,19,1,26,5,5,5,5,5
360,299.4472,30.25,1,1225,2,2,19,1,44,3,4,4,3,4
360,391.98462,30.31666667,2,1259,2,2,19,0,28,4,4,3,4,3
360,396.07407,25.35,1,1367,3,2,19,1,20,3,5,4,2,3
360,606.64685,24.71666667,1,1388,5,2,19,1,21,4,5,4,4,4
360,653.60443,24.73333333,2,1389,5,2,19,1,27,3,4,3,4,3
360,471.37125,25.3,1,1404,2,2,19,1,21,4,5,4,4,4
360,464.32126,25.11666667,1,1406,5,2,19,1,21,4,5,5,5,5
360,472.1995,25.25,1,1415,3,2,19,1,23,4,5,5,5,5
360,398.2457,30.1,1,1471,5,2,19,1,25,3,5,4,4,4
360,391.94333,30.11666667,2,1471,5,2,19,1,26,4,3,3,4,4
360,737.19006,24.78333333,1,1482,5,2,19,0,28,3,5,4,4,4
360,412.02502,29.71666667,1,1485,5,2,19,1,25,4,5,4,4,4
360,563.60706,24.68333333,1,1495,5,2,19,1,28,3,5,4,2,4
360,578.24725,30.05,1,1495,5,2,19,0,19,4,5,5,5,5
360,736.659,30.48333333,1,1496,5,2,19,0,38,4,5,3,4,4
360,665.7012,25.11666667,2,1507,5,2,19,0,25,3,4,4,4,4
360,622.5279,25.13333333,1,1517,5,2,19,1,25,4,3,4,4,3
240,115.452995,24,1,1526,2,2,19,1,25,4,4,3,3,3
360,412.90427,29.71666667,1,1526,5,2,19,1,23,4,5,5,5,5
360,462.67474,24.78333333,1,1536,5,2,19,1,22,4,5,5,4,5
360,570.0711,24.76666667,1,1543,5,2,19,1,18,4,4,5,5,5
360,397.43967,30.06666667,1,1549,5,2,19,0,19,4,5,5,5,5
360,378.34213,25.18333333,1,1553,5,2,19,0,19,3,5,3,4,3
360,391.92532,30.33333333,1,1559,2,2,19,1,17,4,5,5,4,5
240,70.67071,24.73333333,1,1580,5,2,19,1,26,4,5,4,4,4
360,662.25006,25.05,1,1584,5,2,19,1,33,4,5,4,4,4
360,563.00714,25.21666667,1,1586,3,2,19,1,19,3,5,4,4,4
360,563.00714,25.21666667,1,1586,3,2,19,1,25,3,5,4,4,4
360,412.75757,29.76666667,1,1595,5,2,19,1,23,3,5,5,3,5
360,442.07083,24.75,1,1602,5,2,19,1,26,4,5,5,4,3
360,457.18112,25.1,1,1610,5,2,19,1,18,3,5,4,4,4
360,578.2599,30.06666667,1,1614,5,2,19,1,27,3,5,5,5,5
240,115.06865,24.03333333,1,1616,5,2,19,1,26,4,5,4,4,4
360,326.60678,29.81666667,1,1621,5,2,19,1,23,4,5,2,4,3
360,725.3286,24.73333333,1,1622,5,2,19,1,23,4,5,5,5,5
360,196.2115,24.11666667,1,1622,5,2,19,1,19,4,5,4,5,4
360,450.88324,25.1,2,1627,5,2,19,0,25,3,4,3,4,3
360,195.95851,24.06666667,1,1645,5,2,19,1,27,3,4,4,4,4
360,551.1032,24.71666667,1,1647,5,2,19,1,26,4,5,5,5,5
360,663.82733,25.1,1,1648,5,2,19,1,29,4,4,2,3,3
360,391.69186,30.1,1,1662,5,2,19,1,26,4,5,4,5,4
360,399.0054,30.08333333,1,1662,5,2,19,1,26,4,4,4,4,4
360,526.8124,25.05,1,1667,5,2,19,0,28,4,5,3,4,3
360,567.1653,24.76666667,1,1675,5,2,19,1,26,3,5,4,4,4
360,307.34555,29.66666667,1,1681,5,2,19,1,33,2,4,2,3,2
360,383.61935,29.71666667,1,1685,5,2,19,1,25,3,5,5,4,5
360,729.8139,24.73333333,1,1685,5,2,19,1,25,3,5,5,5,5
360,532.4405,24.71666667,1,1698,5,2,19,1,27,3,5,4,5,4
360,409.55005,25.1,1,1699,5,2,19,1,29,4,4,4,4,4
360,731.0461,24.68333333,1,1702,5,2,19,1,17,4,3,3,4,3
360,661.81635,24.76666667,1,1703,5,2,19,1,29,5,5,5,5,5
360,722.68994,25.11666667,1,1704,5,2,19,1,23,3,4,4,4,4
360,555.0372,24.71666667,1,1706,5,2,19,1,21,3,4,3,3,3
