user_id,QoS_bandwidth,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_BUFFERINGtime,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS,QoA_VLCbitrate
88,3072,0.379,0.058,360,1265,1,0,1,1,24,4,5,4,4,4,408
10,3072,0.379,0.058,240,1267,1,0,6,0,25,2,5,4,4,3,71
134,3584,0.322,0.055,360,1270,1,0,5,1,26,5,5,5,5,5,235
135,4096,0.346,0.096,360,1272,1,0,5,1,25,4,5,4,4,4,48
135,3584,0.319,0.05,360,1274,1,0,5,1,25,4,5,4,3,4,400
80,4096,0.39,0.059,360,1275,1,0,6,1,21,3,5,4,4,4,401
33,4096,0.465,0.032,360,1276,1,0,3,1,26,5,5,4,5,5,187
60,2048,0.39,0.059,360,1280,1,0,6,1,38,4,4,4,5,4,397
99,4096,0.376,0.046,360,1286,1,0,3,1,44,3,5,5,4,4,196
69,4096,0.465,0.071,360,1288,1,0,3,1,21,4,5,4,4,4,708
137,4096,0.477,0.05,360,1296,1,0,5,1,26,5,5,1,1,1,75
151,4096,0.344,0.049,360,1296,1,0,7,1,33,4,5,3,2,3,396
138,4096,0.496,0.116,360,1308,1,0,3,1,26,4,5,4,4,4,300
100,3584,0.33,0.027,360,1310,1,0,6,1,52,4,4,3,2,4,579
42,3072,0.487,0.042,360,1310,1,0,6,1,26,2,3,5,4,3,708
43,3584,0.392,0.045,360,1319,1,0,6,1,21,4,5,5,5,5,438
22,4096,0.455,0.033,240,1334,1,0,3,0,26,5,4,3,3,4,119
121,4608,0.495,0.043,360,1335,1,0,5,1,30,4,5,4,3,4,655
80,4096,0.465,0.071,360,1338,1,0,6,1,21,4,5,4,5,4,194
92,4096,0.455,0.033,360,1344,1,0,4,1,25,4,5,4,4,4,392
90,3584,0.333,0.034,360,1345,1,0,4,1,44,4,5,4,4,4,568
136,4096,0.292,0.047,360,1345,1,0,4,1,31,4,3,3,3,3,235
56,3584,0.312,0.049,360,1350,2,2,6,1,27,3,5,4,4,4,633
10,4096,0.444,0.049,360,1350,1,0,3,0,25,3,5,4,5,4,474
