user_id,QoS_bandwidth,QoS_packet-loss,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
128,3072,0,0.33,0.052,360,392,30,2,1191,4,1,0,5,1,27,5,5,5,5,5,4
137,1024,0,0.394,0.045,360,410,25,1,1197,5,2,2,5,1,26,5,4,5,4,4,4
130,3072,0,0.49,0.054,360,553,25,2,1199,4,1,0,5,1,29,5,4,5,4,4,4
45,3072,0,0.465,0.032,360,579,30,2,1199,5,1,0,2,1,23,5,3,5,5,4,5
52,3072,0,0.456,0.042,360,400,30,1,1201,3,1,0,2,1,26,5,4,5,5,5,5
133,3584,0,0.495,0.043,360,233,25,1,1209,2,1,0,5,1,31,5,4,5,4,4,4
41,1536,0,0.502,0.063,360,196,24,1,1215,4,2,2,3,1,23,5,4,5,5,5,5
137,3072,0,0.346,0.096,360,83,12,1,1216,5,1,0,5,1,26,5,4,4,2,3,2
67,1536,0,0.341,0.044,360,218,30,1,1222,2,2,2,2,1,26,5,5,5,5,5,5
55,1024,0,0.497,0.045,360,299,30,1,1225,2,2,2,2,1,44,5,3,4,4,3,4
4,2560,0,0.489,0.082,360,552,25,2,1226,2,1,0,3,1,38,5,5,5,5,5,5
56,3584,0,0.411,0.032,360,392,30,2,1226,2,1,0,6,1,27,5,4,5,5,5,5
89,1536,0,0.407,0.063,360,245,30,1,1243,2,1,0,6,0,23,5,3,5,4,5,4
24,3584,0,0.435,0.071,360,756,25,1,1247,2,1,0,6,1,23,5,3,3,3,4,3
6,1024,0,0.292,0.047,360,399,30,2,1253,5,1,0,1,0,26,5,4,5,5,5,5
8,3584,0,0.514,0.068,360,473,25,1,1257,2,1,0,6,1,23,5,2,5,4,4,5
7,3584,0,0.502,0.058,360,392,30,2,1259,2,1,0,2,0,28,5,4,4,3,4,3
88,3072,0,0.379,0.058,360,408,25,2,1265,3,1,0,1,1,24,5,4,5,4,4,4
10,3072,0,0.379,0.058,240,71,25,1,1267,2,1,0,6,0,25,5,2,5,4,4,3
134,3584,0,0.322,0.055,360,235,30,2,1270,5,1,0,5,1,26,5,5,5,5,5,5
135,4096,0,0.346,0.096,360,48,10,2,1272,5,1,0,5,1,25,5,4,5,4,4,4
